Date,Product_ID,Quantity_Sold
01/03/26,5614237819,5
01/03/26,7825371920,5
01/03/26,8193271829,6
01/03/26,5614237819,2
01/03/26,7825371920,1
01/03/26,8193271829,3
02/03/26,8193271829,4
02/03/26,5128253920,7
02/03/26,5614237819,7
03/03/26,7825371920,6
05/03/26,7825371920,7
05/03/26,7825371920,1
05/03/26,8193271829,3
06/03/26,7825371920,8
06/03/26,5128253920,6
06/03/26,5128253920,5
07/03/26,7825371920,7
09/03/26,8193271829,8
09/03/26,5614237819,1
09/03/26,5614237819,5
11/03/26,8193271829,7
11/03/26,7825371920,1
12/03/26,5614237819,1
12/03/26,5614237819,7
14/03/26,5614237819,2
15/03/26,5128253920,8
15/03/26,8193271829,5
16/03/26,7825371920,1
17/03/26,5128253920,1
19/03/26,5614237819,8
19/03/26,8193271829,8
19/03/26,5128253920,8
19/03/26,7825371920,6
20/03/26,5128253920,5
21/03/26,8193271829,7
21/03/26,5614237819,3
21/03/26,5614237819,5
22/03/26,7825371920,3
24/03/26,5128253920,4
24/03/26,5614237819,2
24/03/26,5614237819,5
26/03/26,5128253920,5
26/03/26,5614237819,7
26/03/26,8193271829,8
27/03/26,5128253920,5
27/03/26,5128253920,7
28/03/26,7825371920,8
29/03/26,7825371920,1
31/03/26,8193271829,4
31/03/26,7825371920,4
